title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
To Kill a Mockingbird,Harper Lee,4.26,"6,068,872 rating","July 11, 1960","The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it. ""To Kill A Mockingbird"" became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and deeply moving, ""To Kill A Mockingbird"" takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.",323,84,13.5k follower,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical']","116,265 review","3,143,087 (51%)","1,807,716 (29%)","796,217 (13%)","209,904 (3%)","111,948 (1%)"
1984,George Orwell,4.19,"4,547,622 rating","June 8, 1949",A masterpiece of rebellion and imprisonment where war is peace freedom is slavery and Big Brother is watching Thought Police Big Brother Orwellian These words have entered our vocabulary because of George Orwell s classic dystopian novel 1984 The story of one man s nightmare odyssey as he pursues a forbidden love affair through a world ruled by warring states and a power structure that controls not only information but also individual thought and memory 1984 is a prophetic haunting tale More relevant than ever before 1984 exposes the worst crimes imaginable the destruction of truth freedom and individuality With a foreword by Thomas Pynchon With a foreword by Thomas Pynchon A masterpiece of rebellion and imprisonment where war is peace freedom is slavery and Big Brother is watching View our feature on George Orwell s 1984 Thought Police Big Brother Orwellian These words have entered our vocabulary because of George Orwell s classic dystopian novel 1984 The story of one man s nightmare odyssey as he pursues a forbidden love affair through a world ruled by warring states and a power structure that controls not only information but also individual thought and memory 1984 is a prophetic haunting tale More relevant than ever before 1984 exposes the worst crimes imaginable the destruction of truth freedom and individuality This beautiful paperback edition features deckled edges and french flaps a perfect gift for any occasionAlternate cover edition can be found here.,368,995,43.8k follower,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Politics', 'Novels', 'Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Politics', 'Novels', 'Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Politics', 'Novels']","113,513 review","2,149,271 (47%)","1,484,316 (32%)","646,770 (14%)","173,852 (3%)","93,413 (2%)"
Harry Potter and the Sorcerer's Stone,J.K. Rowling,4.47,"9,956,021 rating","June 26, 1997","Harry Potter has no idea how famous he is. That's because he's being raised by his miserable aunt and uncle who are terrified Harry will learn that he's really a wizard, just as his parents were. But everything changes when Harry is summoned to attend an infamous school for wizards, and he begins to discover some clues about his illustrious birthright. From the surprising way he is greeted by a lovable giant, to the unique curriculum and colorful faculty at his unusual school, Harry finds himself drawn deep inside a mystical world he never knew existed and closer to his own noble destiny.",309,529,225k follower,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']","160,487 review","6,445,334 (64%)","2,307,078 (23%)","842,759 (8%)","191,982 (1%)","168,868 (1%)"
The Great Gatsby,F. Scott Fitzgerald,3.93,"5,186,875 rating","April 10, 1925","The Great Gatsby, F. Scott Fitzgerald's third book, stands as the supreme achievement of his career. This exemplary novel of the Jazz Age has been acclaimed by generations of readers. The story of the fabulously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when The New York Times noted ""gin was the national drink and sex the national obsession,"" it is an exquisitely crafted tale of America in the 1920s.The Great Gatsby is one of the great classics of twentieth-century literature.(from the back cover)",180,"1,968",23.6k follower,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Romance', 'Literature', 'Novels']","103,258 review","1,837,920 (35%)","1,754,617 (33%)","1,111,363 (21%)","336,632 (6%)","146,343 (2%)"
Animal Farm,George Orwell,3.99,"3,844,426 rating","August 17, 1945","Librarian's note: There is an Alternate Cover Edition for this edition of this book here.A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned –a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible. When Animal Farm was first published, Stalinist Russia was seen as its target. Today it is devastatingly clear that wherever and whenever freedom is attacked, under whatever banner, the cutting clarity and savage comedy of George Orwell’s masterpiece have a meaning and message still ferociously fresh.",128,995,43.8k follower,"['Classics', 'Fiction', 'Dystopia', 'Fantasy', 'School', 'Literature', 'Science Fiction', 'Classics', 'Fiction', 'Dystopia', 'Fantasy', 'School', 'Literature', 'Science Fiction', 'Classics', 'Fiction', 'Dystopia', 'Fantasy', 'School', 'Literature', 'Science Fiction', 'Classics', 'Fiction', 'Dystopia', 'Fantasy', 'School', 'Literature', 'Science Fiction', 'Classics', 'Fiction', 'Dystopia', 'Fantasy', 'School', 'Literature', 'Science Fiction']","94,339 review","1,439,487 (37%)","1,346,306 (35%)","732,215 (19%)","215,884 (5%)","110,534 (2%)"
The Hobbit,J.R.R. Tolkien,4.29,"3,932,591 rating","September 21, 1937","In a hole in the ground there lived a hobbit. Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort.Written for J.R.R. Tolkien’s own children, The Hobbit met with instant critical acclaim when it was first published in 1937. Now recognized as a timeless classic, this introduction to the hobbit Bilbo Baggins, the wizard Gandalf, Gollum, and the spectacular world of Middle-earth recounts of the adventures of a reluctant hero, a powerful and dangerous ring, and the cruel dragon Smaug the Magnificent. The text in this 372-page paperback edition is based on that first published in Great Britain by Collins Modern Classics (1998), and includes a note on the text by Douglas A. Anderson (2001).",366,585,70.5k follower,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Young Adult', 'High Fantasy', 'Science Fiction Fantasy', 'Fantasy', 'Classics', 'Fiction', 'Adventure', 'Young Adult', 'High Fantasy', 'Science Fiction Fantasy', 'Fantasy', 'Classics', 'Fiction', 'Adventure', 'Young Adult', 'High Fantasy', 'Science Fiction Fantasy', 'Fantasy', 'Classics', 'Fiction', 'Adventure', 'Young Adult', 'High Fantasy', 'Science Fiction Fantasy', 'Fantasy', 'Classics', 'Fiction', 'Adventure', 'Young Adult', 'High Fantasy', 'Science Fiction Fantasy']","69,977 review","2,108,756 (53%)","1,137,069 (28%)","474,348 (12%)","128,350 (3%)","84,068 (2%)"
The Little Prince,Antoine de Saint-Exupéry,4.32,"2,090,941 rating","April 6, 1943","A pilot stranded in the desert awakes one morning to see, standing before him, the most extraordinary little fellow. ""Please,"" asks the stranger, ""draw me a sheep."" And the pilot realizes that when life's events are too difficult to understand, there is no choice but to succumb to their mysteries. He pulls out pencil and paper... And thus begins this wise and enchanting fable that, in teaching the secret of what is really important in life, has changed forever the world for its readers.Few stories are as widely read and as universally cherished by children and adults alike as The Little Prince, presented here in a stunning new translation with carefully restored artwork. The definitive edition of a worldwide classic, it will capture the hearts of readers of all ages.",96,"1,173","7,875 follower","['Classics', 'Fiction', 'Fantasy', 'Childrens', 'France', 'Philosophy', 'Young Adult', 'Classics', 'Fiction', 'Fantasy', 'Childrens', 'France', 'Philosophy', 'Young Adult', 'Classics', 'Fiction', 'Fantasy', 'Childrens', 'France', 'Philosophy', 'Young Adult']","66,777 review","1,186,635 (56%)","539,241 (25%)","256,045 (12%)","73,246 (3%)","35,774 (1%)"
Fahrenheit 451,Ray Bradbury,3.97,"2,392,158 rating","October 19, 1953","Sixty years after its original publication, Ray Bradbury’s internationally acclaimed novel Fahrenheit 451 stands as a classic of world literature set in a bleak, dystopian future. Today its message has grown more relevant than ever before.Guy Montag is a fireman. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they are hidden. Montag never questions the destruction and ruin his actions produce, returning each day to his bland life and wife, Mildred, who spends all day with her television “family.” But when he meets an eccentric young neighbor, Clarisse, who introduces him to a past where people didn’t live in fear and to a present where one sees the world through the ideas in books instead of the mindless chatter of television, Montag begins to question everything he has ever known.",194,"2,262",22.6k follower,"['Fiction', 'Science Fiction', 'Dystopia', 'Classics', 'School', 'Literature', 'Novels']","72,805 review","859,457 (35%)","850,984 (35%)","484,606 (20%)","137,807 (5%)","59,304 (2%)"
The Catcher in the Rye,J.D. Salinger,3.80,"3,498,029 rating","July 16, 1951","It's Christmas time and Holden Caulfield has just been expelled from yet another school...Fleeing the crooks at Pencey Prep, he pinballs around New York City seeking solace in fleeting encounters—shooting the bull with strangers in dive hotels, wandering alone round Central Park, getting beaten up by pimps and cut down by erstwhile girlfriends. The city is beautiful and terrible, in all its neon loneliness and seedy glamour, its mingled sense of possibility and emptiness. Holden passes through it like a ghost, thinking always of his kid sister Phoebe, the only person who really understands him, and his determination to escape the phonies and find a life of true meaning.The Catcher in the Rye is an all-time classic in coming-of-age literature- an elegy to teenage alienation, capturing the deeply human need for connection and the bewildering sense of loss as we leave childhood behind.
J.D. Salinger's
 (1919–2010) classic novel of teenage angst and rebellion was first published in 1951. The novel was included on Time's 2005 list of the 100 best English-language novels written since 1923. It was named by Modern Library and its readers as one of the 100 best English-language novels of the 20th century. It has been frequently challenged in the court for its liberal use of profanity and portrayal of sexuality and in the 1950's and 60's it was the novel that every teenage boy wants to read.",234,148,15k follower,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Coming Of Age', 'Novels']","84,076 review","1,193,553 (34%)","1,076,456 (30%)","749,397 (21%)","302,374 (8%)","176,249 (5%)"
"The Lion, the Witch and the Wardrobe",C.S. Lewis,4.23,"2,774,887 rating","October 16, 1950","Narnia… the land beyond the wardrobe door, a secret place frozen in eternal winter, a magical country waiting to be set free.Lucy is the first to find the secret of the wardrobe in the professor's mysterious old house. At first her brothers and sister don't believe her when she tells of her visit to the land of Narnia. But soon Edmund, then Peter and Susan step through the wardrobe themselves. In Narnia they find a country buried under the evil enchantment of the White Witch. When they meet the Lion Aslan, they realize they've been called to a great adventure and bravely join the battle to free Narnia from the Witch's sinister spell.",206,"1,291",42.2k follower,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Adventure', 'Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Adventure', 'Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Adventure', 'Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Adventure', 'Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Adventure']","32,901 review","1,359,520 (48%)","867,768 (31%)","422,691 (15%)","89,638 (3%)","35,270 (1%)"
