title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
أصداء السيرة الذاتية,Naguib Mahfouz,3.83,"2,403 rating","January 1, 1994",في هذا الكتاب، يتجول نجيب محفوظ بين ذكرياته وخواطره وعوالمه وفلسفته في إطار عناوين مذيلة بفقرات خفيفةخارج نطاق الرواية التي اعتادها وداخل عالم نجيب محفوظ الذي اعتاده.,120,"['Biography', 'Literature', 'Short Stories', 'Nonfiction', 'Egypt', 'Autobiography', 'Philosophy', 'Biography', 'Literature', 'Short Stories', 'Nonfiction', 'Egypt', 'Autobiography', 'Philosophy', 'Biography', 'Literature', 'Short Stories', 'Nonfiction', 'Egypt', 'Autobiography', 'Philosophy']",15k follower,510 review,481,43 (1%),210 (8%),593 (24%),833 (34%),724 (30%)
وجهة العالم الإسلامي,مالك بن نبي,4.14,398 rating,"January 1, 1954",نبذة الناشر:تحليل عميق لمراحل التاريخ وسير المدينة وتطورها، وتقسيم تاريخ المجتمع الإسلامي إلى مراحل مرحلة الإسلام الأولى ومرحلة المدينة الإسلامية ومرحلة الجمود والانحطاط وفي وصف تحليلي عميق ثم مرحلة الاتصال بأوربة والنهضة وفوضى العالم الإسلامي الحديث والعالم الغربي أيضاً وبواكير العالم الإسلامي والمآل الروحي له.,200,"['Nonfiction', 'Islam', 'Religion', 'Sociology', 'Philosophy', 'Nonfiction', 'Islam', 'Religion', 'Sociology', 'Philosophy', 'Nonfiction', 'Islam', 'Religion', 'Sociology', 'Philosophy']","3,456 follower",59 review,63,7 (1%),7 (1%),71 (17%),150 (37%),163 (40%)
ذاكرة الجسد,Ahlam Mosteghanemi,3.81,"25,033 rating","January 1, 1993",في حضور الوجدان تتألق معاني أحلام مستغانمي، وفي ذاكرة الجسد تتوج حضورها، حروفاً كلمات عبارات تتقاطر في حفل الغناء الروحي. موسيقاه الوطن المنبعث برغم الجراحات... مليون شهيد وثورة ومجاهد، وجزائر الثكلى بأبنائها تنبعث زوابع وعواصف الشوق والحنين في قلب خالد الرسام الذي امتشق الريشة بعد أن هوت يده التي حملت السلاح يوماً، والريشة والسلاح سيّان، كلاهما ريشة تعزف على أوتار الوطن. ففي فرنسا وعندما كان يرسم ما تراه عيناه، جسر ميرابو ونهر السين، وجد أن ما يرسمه هو جسراً آخر ووادياً آخر لمدينة أخرى هي قسنطينة، فأدرك لحظتها أنه في كل حال لا يرسم ما نسكنه، وإنما ما يسكننا. وهل كانت أحلام مستغانمي تكتب ذاكرة الجسد أم أنها تكتب ذاكرة الوطن؟!! الأمر سيّان فما الجسد إلا جزء من الوطن وما الوطن إلا هذا الجسد الساكن فيه إلى الأبد. تتقاطر الذكرى مفعمة بروح الماضي الذي يأبى إلا الحضور في كل شيء متجسداً السي طاهر التي كما عرفها خالد طفلة رجل قاد خطواته على درب الكفاح؛ عرفها أنثى... كانت من الممكن أن تكون حبيبته، زوجته، ولكنها باتت زوجة في زواج لم يحضره، تلف الذكرى الصفحات، وتتهادى العبارات ممسكة بتلابيب الذكريات دون أن توقظ النفس ملل الحضور. الوطن والحبيبة يجتمعان، والثورة والحب ينصهران في بوتقة واحدة، ومزيجهما عطاء فكري، بعيد عن الخيال، للواقع أقرب، وللإنسان في صدق مشاعره وأحاسيسه أقرب وأقرب.,404,"['Novels', 'Fiction', 'Romance', 'Algeria', 'Literature', 'Historical Fiction', 'Africa', 'Novels', 'Fiction', 'Romance', 'Algeria', 'Literature', 'Historical Fiction', 'Africa', 'Novels', 'Fiction', 'Romance', 'Algeria', 'Literature', 'Historical Fiction', 'Africa']","4,221 follower","2,152 review",16,"1,208 (4%)","2,166 (8%)","5,497 (21%)","7,512 (30%)","8,650 (34%)"
The Loneliness of the Long-Distance Runner,Alan Sillitoe,3.78,"6,540 rating","January 1, 1959","Nine classic short stories portraying the isolation, criminality, morality, and rebellion of the working class from award-winning, bestselling author Alan Sillitoe The titular story follows the internal decisions and external oppressions of a seventeen-year-old inmate in a juvenile detention center who is known only by his surname, Smith. The wardens have given the boy a light workload because he shows talent as a runner. But if he wins the national long-distance running competition as everyone is counting on him to do, Smith will only vindicate the very system and society that has locked him up. “The Loneliness of the Long-Distance Runner” has long been considered a masterpiece on both the page and the silver screen. Adapted for film by Sillitoe himself in 1962, it became an instant classic of British New Wave cinema.    In “Uncle Ernest,” a middle-aged furniture upholsterer traumatized in World War II, now leads a lonely life. His wife has left him, his brothers have moved away, and the townsfolk treat him as if he were a ghost. When the old man finally finds companionship with two young girls whom he enjoys buying pastries for at a café, the local authorities find his behavior morally suspect. “Mr. Raynor the School Teacher” delves into a different kind of isolation—that of a voyeuristic teacher who fantasizes constantly about the women who work in a draper’s shop across the street. When his students distract him from his lustful daydreams, Mr. Raynor becomes violent.   The six stories that follow in this iconic collection continue to cement Alan Sillitoe’s reputation as one of Britain’s foremost storytellers, and a champion of the condemned, the oppressed, and the overlooked.   This ebook features an illustrated biography of Alan Sillitoe including rare images from the author’s estate.  ",176,"['Fiction', 'Short Stories', 'Classics', 'Sports', 'Literature', 'British Literature', '20th Century']",125 follower,550 review,135,90 (1%),426 (6%),"1,779 (27%)","2,766 (42%)","1,479 (22%)"
Wonderful Life: The Burgess Shale and the Nature of History,Stephen Jay Gould,4.14,"9,837 rating","October 1, 1989",High in the Canadian Rockies is a small limestone quarry formed 530 million years ago called the Burgess Shale. It hold the remains of an ancient sea where dozens of strange creatures lived—a forgotten corner of evolution preserved in awesome detail. In this book Stephen Jay Gould explores what the Burgess Shale tells us about evolution and the nature of history.,352,"['Science', 'Nonfiction', 'Biology', 'Evolution', 'History', 'Natural History', 'Nature']","1,282 follower",331 review,189,164 (1%),404 (4%),"1,643 (16%)","3,310 (33%)","4,316 (43%)"
No Comebacks,Frederick Forsyth,3.95,"4,459 rating","January 1, 1972","Here are ten suspenseful, serpentine stories  of betrayal, blackmail, murder, and revenge... all  culminating in shocking twists of fate.   Within these pages live a wealth of  characters you will not soon forget... people  whose lives become irrevocably trapped in a world of  no comebacks, beyond the point of no return--from  the manipulators and the manipulated to the  ultra-rich capable of buying and selling human lives, to the everyday man maneuvered by circumstances into performing deadly acts of violence.",320,"['Fiction', 'Thriller', 'Short Stories', 'Crime', 'Mystery', 'Suspense', 'Espionage']","3,583 follower",224 review,255,43 (<1%),218 (4%),"1,068 (23%)","1,731 (38%)","1,399 (31%)"
Revolution in the Head: The Beatles Records and the Sixties,Ian MacDonald,4.25,"5,484 rating","December 1, 1994","'No book has taken us closer to the music of the Beatles' Tony Parsons 'Consistently brilliant' SUNDAY TIMES 'Essential' Q The Beatles achievement was so dazzling, so extraordinary, that few have questioned it. Agreement that they were far and away the best pop group ever is all but universal. And nowhere is the spirit of the Sixties - both in its soaring optimism and its drug-spirited introspection - more perfectly expressed than in the Beatles' music. Taking all the elements which combined to create each song as it was captured on vinyl - the songwriting process, the stimuli of contemporary pop hits and events, the evolving input from each of the Four, the brilliant innovations pulled off in the studio and, ultimately, the twisting grip of psychedelic drugs - the Beatles are pinpointed, record by record, in precise and fascinating detail against the backdrop of that vibrant era.",387,"['Music', 'Nonfiction', 'History', 'Biography', 'Art', 'Reference', 'Pop Culture']",28 follower,322 review,177,119 (2%),173 (3%),734 (13%),"1,651 (30%)","2,807 (51%)"
L'année dernière à Marienbad,Alain Robbe-Grillet,4.18,316 rating,"January 1, 1961","Tout le film est l'histoire d'une persuasion : il s'agit d'une réalité que le héros crée par sa propre vision, par sa propre parole.Cela se passe dans un grand hôtel, une sorte de palace international. Un inconnu erre de salle en salle, longe d'interminables corridors. Son œil passe d'un visage sans nom à un autre visage sans nom. Mais il revient sans cesse à celui d'une jeune femme. Et voilà qu'il lui offre un passé, un avenir et la liberté. Il lui dit qu'ils se sont rencontrés déjà, lui et elle, il y a un an, qu'ils se sont aimés, qu'il revient maintenant à ce rendez-vous fixé par elle-même, et qu'il va l'emmener avec lui.L'inconnu est-il un banal séducteur ? Est-il un fou ? Ou bien confond-il seulement deux visages ? La jeune femme, en tout cas, commence par prendre la chose comme un jeu. Mais l'homme ne rit pas. Obstiné, grave, sûr de cette histoire passée que peu à peu il dévoile, il insiste, il apporte des preuves... Et la jeune femme, peu à peu, comme à regret, cède du terrain. Puis elle prend peur. Elle se raidit. Elle ne veut pas quitter cet autre homme qui veille sur elle et qui est peut-être son mari. Mais l'histoire que l'inconnu raconte prend corps de plus en plus, irrésistiblement, elle devient de plus en plus vraie. Le présent, le passé, du reste, ont fini par se confondre, tandis que la tension croissante entre les trois protagonistes crée dans l'esprit de l'héroïne des phantasmes de tragédie : le viol, le meurtre, le suicide.Puis soudain, elle va céder... Elle a déjà cédé, en fait, depuis longtemps. Après une dernière tentative pour se dérober, elle semble accepter d'être celle que l'inconnu attend, et de s'en aller avec lui vers quelque chose, quelque chose d'innommé, quelque chose d'autre : l'amour, la poésie, la liberté... ou, peut-être, la mort...Ciné-roman, illustré de photogrammes du film réalisé par Alain Resnais (1961).",176,"['Film', 'France', 'Fiction', 'Literature', 'Fantasy', 'French Literature', 'Plays']",380 follower,17 review,119,3 (<1%),12 (3%),52 (16%),108 (34%),141 (44%)
Hatter's Castle,A.J. Cronin,4.35,"4,150 rating","January 1, 1931","Hatter's Castle (1931) is the first novel of author A. J. Cronin. The story is set in 1879, in the fictional town of Levenford, on the Firth of Clyde. The plot revolves around many characters and has many subplots, all of which relate to the life of the hatter, James Brodie, whose narcissism and cruelty gradually destroy his family and life.",605,"['Classics', 'Fiction', 'Historical Fiction', 'Scotland', 'British Literature', 'Family', 'Novels', 'Classics', 'Fiction', 'Historical Fiction', 'Scotland', 'British Literature', 'Family', 'Novels', 'Classics', 'Fiction', 'Historical Fiction', 'Scotland', 'British Literature', 'Family', 'Novels']",436 follower,234 review,200,35 (<1%),99 (2%),510 (12%),"1,249 (30%)","2,257 (54%)"
Peter Pan in Kensington Gardens,J.M. Barrie,3.87,"9,252 rating","January 1, 1906","Peter Pan in Kensington Gardens by J.M. Barrie. Peter Pan, the boy who refused to grow up, is one of the immortals of children's literature. J.M. Barrie first created Peter Pan as a baby, living in secret with the birds and fairies in the middle of London, but as the children for whom he invented the stories grew older, so too did Peter, reappearing in Neverland, where he was aided in his epic battles with Red Indians and pirates by the motherly and resourceful Wendy Darling. With their contrary lures of home and escape, childhood and maturity, safety and high adventure, these unforgettable tales are equally popular with children and adults.",192,"['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Adventure', 'Fairy Tales', 'Young Adult', 'Classics', 'Fantasy', 'Fiction', 'Childrens', 'Adventure', 'Fairy Tales', 'Young Adult', 'Classics', 'Fantasy', 'Fiction', 'Childrens', 'Adventure', 'Fairy Tales', 'Young Adult']","2,161 follower",397 review,"2,045",305 (3%),689 (7%),"2,269 (24%)","2,594 (28%)","3,395 (36%)"
