title,authors,average_rating,rating,date_of_publication,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
The Princess Bride,William Goldman,4.27,895758,1973-09-01,429,"['Fantasy', 'Classics', 'Fiction', 'Romance', 'Humor', 'Young Adult', 'Adventure']",2458,25792,95,17246,29346,117763,263834,467569
The Call of the Wild,Jack London,3.9,426075,1903-01-01,172,"['Fiction', 'Classics', 'Adventure', 'Young Adult', 'Animals', 'Historical Fiction', 'Literature', 'Fiction', 'Classics', 'Adventure', 'Young Adult', 'Animals', 'Historical Fiction', 'Literature', 'Fiction', 'Classics', 'Adventure', 'Young Adult', 'Animals', 'Historical Fiction', 'Literature']",6793,15288,6596,9779,25324,99071,154416,137485
The Trial,Franz Kafka,3.96,321606,1925-04-26,255,"['Classics', 'Fiction', 'Philosophy', 'Literature', 'German Literature', 'Novels', 'Dystopia', 'Classics', 'Fiction', 'Philosophy', 'Literature', 'German Literature', 'Novels', 'Dystopia', 'Classics', 'Fiction', 'Philosophy', 'Literature', 'German Literature', 'Novels', 'Dystopia', 'Classics', 'Fiction', 'Philosophy', 'Literature', 'German Literature', 'Novels', 'Dystopia', 'Classics', 'Fiction', 'Philosophy', 'Literature', 'German Literature', 'Novels', 'Dystopia']",29100,14149,2759,7147,19124,65444,118343,111548
She's Come Undone,Wally Lamb,3.91,345419,1992-08-24,465,"['Fiction', 'Contemporary', 'Chick Lit', 'Adult Fiction', 'Coming Of Age', 'Novels', 'Adult']",7597,11175,14,11746,23491,71975,116419,121788
Where the Sidewalk Ends,Shel Silverstein,4.33,1393675,1974-01-01,176,"['Poetry', 'Childrens', 'Classics', 'Fiction', 'Humor', 'Young Adult', 'Picture Books']",9769,12447,111,23504,39640,172011,371976,786544
Perfume: The Story of a Murderer,Patrick Süskind,4.04,462898,1985-01-01,263,"['Fiction', 'Classics', 'Historical Fiction', 'Horror', 'Thriller', 'Mystery', 'Crime', 'Fiction', 'Classics', 'Historical Fiction', 'Horror', 'Thriller', 'Mystery', 'Crime', 'Fiction', 'Classics', 'Historical Fiction', 'Horror', 'Thriller', 'Mystery', 'Crime']",3578,24617,39,10615,25117,82057,164362,180747
Fight Club,Chuck Palahniuk,4.19,587772,1996-08-17,224,"['Fiction', 'Classics', 'Thriller', 'Novels', 'Mystery', 'Literature', 'Adult']",129000,21451,226,7342,19859,88575,211634,260362
Catch-22,Joseph Heller,3.99,828065,1961-11-10,453,"['Fiction', 'Historical Fiction', 'Classics', 'War', 'Humor', 'Literature', 'Novels']",2644,23261,56,29160,53605,148697,262669,333934
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.46,321965,1971-01-01,242,"['Nonfiction', 'Biography', 'History', 'Christian', 'Memoir', 'Classics', 'Holocaust', 'Nonfiction', 'Biography', 'History', 'Christian', 'Memoir', 'Classics', 'Holocaust', 'Nonfiction', 'Biography', 'History', 'Christian', 'Memoir', 'Classics', 'Holocaust', 'Nonfiction', 'Biography', 'History', 'Christian', 'Memoir', 'Classics', 'Holocaust', 'Nonfiction', 'Biography', 'History', 'Christian', 'Memoir', 'Classics', 'Holocaust']",1464,13533,115,6140,7384,27500,71906,209035
Mrs. Dalloway,Virginia Woolf,3.79,303020,1925-05-14,194,"['Classics', 'Fiction', 'Literature', 'Novels', 'Feminism', 'British Literature', 'Literary Fiction', 'Classics', 'Fiction', 'Literature', 'Novels', 'Feminism', 'British Literature', 'Literary Fiction', 'Classics', 'Fiction', 'Literature', 'Novels', 'Feminism', 'British Literature', 'Literary Fiction']",24100,18005,1373,10691,25768,72433,101426,92702
