title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
Belle du Seigneur,Albert Cohen,4.09,"3,583 rating","January 1, 1968","""Solennels parmi les couples sans amour, ils dansaient, d'eux seuls préoccupés, goûtaient l'un à l'autre, soigneux, profonds, perdus. Béate d'être tenue et guidée, elle ignorait le monde, écoutait le bonheur dans ses veines, parfois s'admirant dans les hautes glaces des murs, élégante, émouvante, exceptionnelle, femme aimée, parfois reculant la tête pour mieux le voir qui lui murmurait des merveilles point toujours comprises, car elle le regardait trop, mais toujours de toute son âme approuvées, qui lui murmurait qu'ils étaient amoureux, et elle avait alors un impalpable rire tremblé, voilà, oui, c'était cela, amoureux, et il lui murmurait qu'il se mourait de baiser et bénir les longs cils recourbés, mais non pas ici, plus tard, lorsqu'ils seraient seuls, et alors elle murmurait qu'ils avaient toute la vie, et soudain elle avait peur de lui avoir déplu, trop sûre d'elle, mais non, ô bonheur, il lui souriait et contre lui la gardait et murmurait que tous les soirs ils se verraient.""Ariane devant son seigneur, son maître, son aimé Solal, tous deux entourés d'une foule de comparses : ce roman n'est rien de moins que le chef-d'œuvre de la littérature amoureuse de notre époque.",1110,138,163 follower,"['Fiction', 'France', 'Classics', 'Romance', 'French Literature', 'Novels', '20th Century']",285 review,"1,747 (48%)",956 (26%),506 (14%),214 (5%),160 (4%)
Lady of Hay,Barbara Erskine,4.06,"7,933 rating","January 1, 1986","Jo Clifford, successful journalist, is all set to debunk the idea of past-life regression in her next magazine series. But when she herself submits to a simple hypnotic session, she suddenly finds herself reliving the experiences of Matilda, Lady of Hay, the wife of a baron at the time of King John. As she learns of Matilda's unhappy marriage, her love for the handsome Richard de Clare and the brutal threats of death at the hands of King John, it becomes clear that Jo's past and present are hopelessly entwined and that, eight hundred years on, a story of secret passion and unspeakable treachery is about to begin again...",768,48,"1,142 follower","['Historical Fiction', 'Time Travel', 'Fiction', 'Historical', 'Romance', 'Fantasy', 'Historical Romance']",646 review,"3,502 (44%)","2,363 (29%)","1,358 (17%)",480 (6%),230 (2%)
How It Is,Samuel Beckett,3.99,"1,321 rating","January 1, 1961","“It is one thing to be informed by Shakespeare that life “is a tale told by an idiot signifying nothing”; it is something else to encounter the idea literally presented in a novel by Samuel Beckett. But I am reasonably certain that a sensitive reader who journeys through How It Is will leave the book convinced that Beckett says more that is relevant to experience in our time than Shakespeare does in Macbeth. It should come as no surprise if a decade or so hence How It Is is appraised as a masterpiece of modern literature. This poetic novel is Beckett at his height.” — Webster Schott“A wonderful book, written in the sparest prose. . . . Beckett is one of the rare creative minds in our times.” — Alan Pryce-Jones“What is novel is the absolute sureness of design. . . built phrase by phrase into a beautifully and tightly wrought structure — a few dozen expressions permuted with deliberate redundancy accumulate meaning even as they are emptied of it, and offer themselves as points of radiation in a strange web of utter illusion.” — Hugh Kenner",111,706,"5,806 follower","['Fiction', 'Irish Literature', 'Philosophy', 'Ireland', 'Literature', 'Classics', 'Novels']",128 review,526 (39%),438 (33%),229 (17%),80 (6%),48 (3%)
The Feminine in Fairy Tales,Marie-Louise von Franz,4.30,760 rating,"January 1, 1972","A Jungian psychologist explores what we can learn about women—and men—from the feminine archetypes, symbols, and themes found in fairy tales In this engaging commentary, the distinguished analyst and author Marie-Louise von Franz shows how the Feminine reveals itself in fairy tales of German, Russian, Scandinavian, and Eskimo origin, including familiar stories such as Sleeping Beauty , Snow White and Rose Red, and Rumpelstiltskin . Some tales, she points out, offer insights into the psychology of women—while others reflect the problems and characteristics of the anima, the inner femininity of men. Drawing upon her extensive knowledge of Jungian psychology, Dr. von Franz discusses the archetypes and symbolic themes that appear in fairy tales as well as dreams and fantasies, draws practical advice from the tales, and demonstrates its application in case studies from her analytical practice.",240,156,620 follower,"['Psychology', 'Nonfiction', 'Fairy Tales', 'Feminism', 'Mythology', 'Womens', 'Philosophy']",35 review,409 (53%),212 (27%),104 (13%),27 (3%),8 (1%)
Forever Flowing,Vasily Grossman,4.20,"3,763 rating","January 1, 1972","'Everything Flows is as important a novel as anything written by Solzhenitsyn, and Robert Chandler's superb translation makes it a joy to read'Antony BeevorIvan Grigoryevich has been in the Gulag for thirty years. Released after Stalin's death, he finds that the years of terror have imposed a collective moral slavery. He must struggle to find a place for himself in an unfamiliar world. Grossman tells the stories of those people entwined with Ivan's fate: his cousin Nikolay, a scientist who never let his conscience interfere with his career, Pinegin, the informer who had Ivan sent to the camps and Anna Sergeyevna, Ivan's lover, who tells of her involvement as an activist in the Terror famine of 1932-3.Everything Flows is Vasily Grossman's final testament, written after the Soviet authorities suppressed Life and Fate.'Vasily Grossman is the Tolstoy of the USSR' Martin Amis",247,42,817 follower,"['Fiction', 'Russia', 'Russian Literature', 'Historical Fiction', 'Classics', 'Literature', 'Novels']",452 review,"1,681 (44%)","1,365 (36%)",564 (14%),113 (3%),40 (1%)
In Pharaoh's Army: Memories of the Lost War,Tobias Wolff,4.10,"3,331 rating","October 1, 1994","Whether he is evoking the blind carnage of the Tet offensive, the theatrics of his fellow Americans, or the unraveling of his own illusions, Wolff brings to this work the same uncanny eye for detail, pitiless candor and mordant wit that made This Boy's Life a modern classic.",221,157,"1,125 follower","['Memoir', 'Nonfiction', 'War', 'History', 'Biography', 'Military Fiction', 'Biography Memoir']",263 review,"1,244 (37%)","1,340 (40%)",609 (18%),101 (3%),37 (1%)
Black Holes & Time Warps: Einstein's Outrageous Legacy,Kip S. Thorne,4.22,"12,746 rating","September 22, 1994","Ever since Albert Einstein's general theory of relativity burst upon the world in 1915 some of the most brilliant minds of our century have sought to decipher the mysteries bequeathed by that theory, a legacy so unthinkable in some respects that even Einstein himself rejected them.Which of these bizarre phenomena, if any, can really exist in our universe? Black holes, down which anything can fall but from which nothing can return; wormholes, short spacewarps connecting regions of the cosmos; singularities, where space and time are so violently warped that time ceases to exist and space becomes a kind of foam; gravitational waves, which carry symphonic accounts of collisions of black holes billions of years ago; and time machines, for traveling backward and forward in time.Kip Thorne, along with fellow theorists Stephen Hawking and Roger Penrose, a cadre of Russians, and earlier scientists such as Oppenheimer, Wheeler and Chandrasekhar, has been in the thick of the quest to secure answers. In this masterfully written and brilliantly informed work of scientific history and explanation, Dr. Thorne, the Feynman Professor of Theoretical Physics at Caltech, leads his readers through an elegant, always human, tapestry of interlocking themes, coming finally to a uniquely informed answer to the great question: what principles control our universe and why do physicists think they know the things they think they know? Stephen Hawking's A Brief History of Time has been one of the greatest best-sellers in publishing history. Anyone who struggled with that book will find here a more slowly paced but equally mind-stretching experience, with the added fascination of a rich historical and human component.",624,27,573 follower,"['Science', 'Physics', 'Nonfiction', 'Astronomy', 'Space', 'History', 'Popular Science', 'Science', 'Physics', 'Nonfiction', 'Astronomy', 'Space', 'History', 'Popular Science', 'Science', 'Physics', 'Nonfiction', 'Astronomy', 'Space', 'History', 'Popular Science']",278 review,"6,386 (50%)","3,687 (28%)","1,962 (15%)",498 (3%),213 (1%)
Frindle,Andrew Clements,3.84,"118,705 rating","September 1, 1996","From bestselling and award-winning author Andrew Clements, a quirky, imaginative tale about creative thought and the power of words that will have readers inventing their own words.Is Nick Allen a troublemaker? He really just likes to liven things up at school -- and he's always had plenty of great ideas. When Nick learns some interesting information about how words are created, suddenly he's got the inspiration for his best plan ever...the frindle. Who says a pen has to be called a pen? Why not call it a frindle? Things begin innocently enough as Nick gets his friends to use the new word. Then other people in town start saying frindle. Soon the school is in an uproar, and Nick has become a local hero. His teacher wants Nick to put an end to all this nonsense, but the funny thing is frindle doesn't belong to Nick anymore. The new word is spreading across the country, and there's nothing Nick can do to stop it.",105,162,"1,893 follower","['Fiction', 'Childrens', 'Realistic Fiction', 'Middle Grade', 'School', 'Young Adult', 'Humor', 'Fiction', 'Childrens', 'Realistic Fiction', 'Middle Grade', 'School', 'Young Adult', 'Humor', 'Fiction', 'Childrens', 'Realistic Fiction', 'Middle Grade', 'School', 'Young Adult', 'Humor']","4,780 review","40,033 (33%)","36,168 (30%)","29,554 (24%)","9,527 (8%)","3,423 (2%)"
Election,Tom Perrotta,3.82,"11,795 rating","March 9, 1998","A suburban New Jersey high school teacher confronts a student-body election gone haywire in this darkly comic novel by the author of The Wishbones. Scheduled for release as a feature film in 1998, starring Matthew Broderick.Who really cares who gets elected President of Winwood High School? Nobody -- except Tracy Flick. Tracy's one of those students of boundless energy and ambition who somehow finds the time to do everything -- edit the school paper, star in the musical, sleep with her favorite teacher. Her heart is set on becoming President of Winwood, and what Tracy wants, Tracy gets. With weeks to go before election day, her victory is nearly a foregone conclusion.And that's just the problem, according to Mr. M -- a.k.a. Jim McAllister, faculty, advisor to the Student Government Association and a popular Winwood history teacher. In the name of democracy -- not to mention a simmering grudge against Tracy Flick -- Mr. M recruits the perfect opposition candidate. Paul Warren is a golden boy, a football hero with a brain and a heart, eager to bulk up his meager resume.As Winwood High experiences election fever, Mr. M is distracted by a sudden attraction to his wife's best friend. The two dramas he has created -- one personal and private, the other public and political -- unfurl simultaneously, with all the players sharing in a life-altering conclusion.Part satire, part soap opera, Election is an uncommon look at an ordinary American high school, and the extraordinary people who inhabit it.",210,35,"2,660 follower","['Fiction', 'Humor', 'Contemporary', 'Novels', 'Audiobook', 'Literary Fiction', 'Adult Fiction']","1,024 review","2,490 (21%)","5,421 (45%)","3,262 (27%)",509 (4%),113 (<1%)
The Sacred and the Profane: The Nature of Religion,Mircea Eliade,4.11,"8,100 rating","January 1, 1957","In the classic text The Sacred and the Profane, famed historian of religion Mircea Eliade observes that even moderns who proclaim themselves residents of a completely profane world are still unconsciously nourished by the memory of the sacred. Eliade traces manifestations of the sacred from primitive to modern times in terms of space, time, nature, and the cosmos. In doing so he shows how the total human experience of the religious man compares with that of the nonreligious. This book of great originality and scholarship serves as an excellent introduction to the history of religion, but its perspective also encompasses philosophical anthropology, phenomenology, and psychology. It will appeal to anyone seeking to discover the potential dimensions of human existence.",256,437,"2,401 follower","['Religion', 'Philosophy', 'Nonfiction', 'History', 'Anthropology', 'Mythology', 'Spirituality', 'Religion', 'Philosophy', 'Nonfiction', 'History', 'Anthropology', 'Mythology', 'Spirituality', 'Religion', 'Philosophy', 'Nonfiction', 'History', 'Anthropology', 'Mythology', 'Spirituality']",407 review,"3,279 (40%)","2,948 (36%)","1,453 (17%)",307 (3%),113 (1%)
