title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Nightmares and Dreamscapes,Stephen King,3.95,"82,642 rating","September 29, 1993","A solitary finger pokes out of a drain. Novelty teeth turn predatory. The Nevada desert swallows a Cadillac. Meanwhile, the legend of Castle Rock returns... and grows on you. What does it all mean? What else could it mean? Stephen King is back with a powerful new collection of stories - a vast, many-chambered cave of a volume.In story after story, the long reach of Stephen King's imagination and the no-holds-barred force of his storytelling will take you to places you've never been before. On a roller-coaster through the macabre and the monstrous, via cutting-edge explorations of good and evil - and onto a heartfelt piece on Little League baseball.You will lose a good deal of sleep. But Stephen King, writing to beat the devil, will do your dreaming for you...",836,"['Horror', 'Short Stories', 'Fiction', 'Fantasy', 'Thriller', 'Anthologies', 'Mystery']",841k follower,"1,821 review","2,518",583 (<1%),"3,443 (4%)","21,096 (25%)","31,981 (38%)","25,539 (30%)"
Economics in One Lesson: The Shortest & Surest Way to Understand Basic Economics,Henry Hazlitt,4.17,"19,619 rating","January 1, 1946","A million copy seller, Henry Hazlitt’s Economics in One Lesson is a classic economic primer. But it is also much more, having become a fundamental influence on modern “libertarian” economics of the type espoused by Ron Paul and others.Considered among the leading economic thinkers of the “Austrian School,” which includes Carl Menger, Ludwig von Mises, Friedrich (F.A.) Hayek, and others, Henry Hazlitt (1894-1993), was a libertarian philosopher, an economist, and a journalist. He was the founding vice-president of the Foundation for Economic Education and an early editor of The Freeman magazine, an influential libertarian publication.  Hazlitt wrote Economics in One Lesson, his seminal work, in 1946. Concise and instructive, it is also deceptively prescient and far-reaching in its efforts to dissemble economic fallacies that are so prevalent they have almost become a new orthodoxy.Many current economic commentators across the political spectrum have credited Hazlitt with foreseeing the collapse of the global economy which occurred more than 50 years after the initial publication of Economics in One Lesson. Hazlitt’s focus on non-governmental solutions, strong — and strongly reasoned — anti-deficit position, and general emphasis on free markets, economic liberty of individuals, and the dangers of government intervention make Economics in One Lesson, every bit as relevant and valuable today as it has been since publication.",218,"['Economics', 'Nonfiction', 'Business', 'Politics', 'Finance', 'Philosophy', 'History']",374 follower,"1,723 review",100,440 (2%),876 (4%),"2,874 (14%)","6,154 (31%)","9,275 (47%)"
Karlsson on the Roof,Astrid Lindgren,4.11,"12,745 rating","January 1, 1975","Imagine Smidge's delight when, one day, a little man with a propeller on his back appears hovering at the window! It's Karlson and he lives in a house on the roof. Soon Smidge and Karlson are sharing all sorts of adventures, from tackling thieves and playing tricks to looping the loop and running across the rooftops. Fun and chaos burst from these charming, classic stories.",128,"['Childrens', 'Classics', 'Fiction', 'Swedish Literature', 'Fantasy', 'Scandinavian Literature', 'Humor', 'Childrens', 'Classics', 'Fiction', 'Swedish Literature', 'Fantasy', 'Scandinavian Literature', 'Humor', 'Childrens', 'Classics', 'Fiction', 'Swedish Literature', 'Fantasy', 'Scandinavian Literature', 'Humor', 'Childrens', 'Classics', 'Fiction', 'Swedish Literature', 'Fantasy', 'Scandinavian Literature', 'Humor', 'Childrens', 'Classics', 'Fiction', 'Swedish Literature', 'Fantasy', 'Scandinavian Literature', 'Humor']","3,442 follower",210 review,"1,008",273 (2%),761 (5%),"2,198 (17%)","3,514 (27%)","5,999 (47%)"
Hearts in Atlantis,Stephen King,3.85,"95,406 rating","September 14, 1999","Five interconnected, sequential narratives, set in the years from 1960 to 1999. Each story is deeply rooted in the sixties, and each is haunted by the Vietnam War.Stephen King, whose first novel, Carrie, was published in 1974, the year before the last U.S. troops withdrew from Vietnam, is the first hugely popular writer of the TV generation. Images from that war -- and the protests against it -- had flooded America's living rooms for a decade. Hearts in Atlantis, King's newest fiction, is composed of five interconnected, sequential narratives, set in the years from 1960 to 1999. Each story is deeply rooted in the sixties, and each is haunted by the Vietnam War. In Part One, ""Low Men in Yellow Coats,"" eleven-year-old Bobby Garfield discovers a world of predatory malice in his own neighborhood. He also discovers that adults are sometimes not rescuers but at the heart of the terror. In the title story, a bunch of college kids get hooked on a card game, discover the possibility of protest...and confront their own collective heart of darkness, where laughter may be no more than the thinly disguised cry of the beast. In ""Blind Willie"" and ""Why We're in Vietnam,"" two men who grew up with Bobby in suburban Connecticut try to fill the emptiness of the post-Vietnam era in an America which sometimes seems as hollow -- and as haunted -- as their own lives. And in ""Heavenly Shades of Night Are Falling,"" this remarkable book's denouement, Bobby returns to his hometown where one final secret, the hope of redemption, and his heart's desire may await him. Full of danger, full of suspense, most of all full of heart, Stephen King's new book will take some readers to a place they have never been...and others to a place they have never been able to completely leave.",640,"['Horror', 'Fiction', 'Fantasy', 'Short Stories', 'Thriller', 'Mystery', 'Suspense']",841k follower,"2,998 review","2,518","1,547 (1%)","6,501 (6%)","24,841 (26%)","34,107 (35%)","28,410 (29%)"
"Time's arrow, or, The nature of the offence",Martin Amis,3.76,"16,198 rating","September 26, 1991","The story of a life lived backwards in time. Its narrator, trapped and hurtling towards a terrible secret, moves ""out of the blackest sleep"" to find himself surrounded by doctors and on the deathbed of a man in whose body he is imprisoned. The novel was shortlisted for the 1991 Booker Prize.",176,"['Fiction', 'Historical Fiction', 'Novels', 'Literature', 'Literary Fiction', 'Fantasy', 'Holocaust']","2,785 follower","1,417 review",91,408 (2%),"1,283 (7%)","4,261 (26%)","6,002 (37%)","4,244 (26%)"
A Stone for Danny Fisher,Harold Robbins,4.01,"2,506 rating","January 1, 1952","As a teenager, Danny Fisher had all he ever wanted -- a dog, a grown-up summer job, flirtatious relationships with older women -- and a talent for ruthless boxing that quickly made him a star in the amateur sporting world. But when Danny's family falls on hard times, moving from their comfortable home in Brooklyn to Manhattan's squalid Lower East Side, he is forced to leave his carefree childhood behind. Facing poverty and daily encounters with his violent, anti-Semitic neighbors, Danny must fight both inside and outside the ring just to survive.As his boxing becomes legendary in the city's seedy underworld, packed with wiseguys and loose women, everyone seems to want a hand in Danny's success. Robbins's colorful, fast-talking characters evoke the rough streets of Depression-era New York City. Ronnie, a prostitute ashamed of how far she's fallen and desperately in need of friendship; Sam, a slick bookie who wants to profit from Danny's boxing talent; and Nellie, a beautiful but lonely girl who refuses to believe Danny is beyond redemption -- each of whom has a different vision of Danny's future -- will help steer his rocky course.Gritty, compelling, and groundbreaking for its time, A Stone for Danny Fisher is a tale of ambition, hope, and violence set in a distinct and dangerous period of American history. A classic, sexy bestseller by Harold Robbins, reintroduced to a whole new generation of readers.",512,"['Fiction', 'Romance', 'Crime', 'Classics', 'Drama', 'Historical Fiction', 'Novels']",394 follower,147 review,426,32 (1%),101 (4%),569 (22%),906 (36%),898 (35%)
Tourist Season,Carl Hiaasen,3.92,"21,888 rating","January 1, 1986","The only trace of the first victim was his Shriner's fez washed up on the Miami beach. The second victim, the head of the city's chamber of commerce, was found dead with a toy rubber alligator lodged in his throat. And that was just the beginning... Now Brian Keyes, reporter turned private eye, must move from muckraking to rooting out murder, in a caper that will mix football players, politicians, and police with a group of fanatics and a very hungry crocodile.",404,"['Fiction', 'Mystery', 'Humor', 'Crime', 'Thriller', 'Comedy', 'Mystery Thriller']","7,917 follower","1,097 review",120,314 (1%),977 (4%),"5,180 (23%)","9,115 (41%)","6,302 (28%)"
Moominsummer Madness,Tove Jansson,4.29,"11,995 rating","January 1, 1954","When a flood sweeps through the valley, the Moomins must find a new house. And with typical Moomin good luck, one just happens to be floating by. It looks normal enough, but there are curtains where one wall should be, strange rows of lights, and other odd amenities. Then Moomintroll and the Snork Maiden disappear, and the family realize that the house may hold the answers to more than they ever dreamed.",192,"['Fantasy', 'Fiction', 'Childrens', 'Classics', 'Finnish Literature', 'Middle Grade', 'Adventure', 'Fantasy', 'Fiction', 'Childrens', 'Classics', 'Finnish Literature', 'Middle Grade', 'Adventure', 'Fantasy', 'Fiction', 'Childrens', 'Classics', 'Finnish Literature', 'Middle Grade', 'Adventure']","3,320 follower",647 review,764,68 (<1%),198 (1%),"1,583 (13%)","4,435 (36%)","5,711 (47%)"
You Are Special,Max Lucado,4.45,"52,424 rating","32 pages, HardcoverPublished September 17, 2004",T Eres Especial Edicin de Regalo( You Are Special Gift Edition) <> Hardcover <> MaxLucado <> EditorialUnilit,32,"['Picture Books', 'Childrens', 'Christian', 'Fiction', 'Religion', 'Inspirational', 'Christian Fiction']","4,859 follower","1,475 review","1,043",836 (1%),"1,342 (2%)","5,022 (9%)","11,342 (21%)","33,882 (64%)"
Collected Short Stories: Volume 1,W. Somerset Maugham,4.34,"2,198 rating","January 1, 1951","This first volume of Somerset Maugham's collected short stories includes the famous story 'Rain', the tragedy of the prudish missionary Mr Davidson and Sadie Thompson, the prostitute. The collection contains thirty stories that take us from the islands of the Pacific Ocean to England, France and Spain. They all reveal Maugham's acute and often sardonic observation of human foibles and his particular genius for exposing the bitter reality of human relationships.Somerset Maugham learnt his craft from Maupassant, and these stories display the remarkable talent that made him an unsurpassed storyteller.",448,"['Short Stories', 'Fiction', 'Classics', 'Literature', 'British Literature', '20th Century', 'English Literature']","5,276 follower",128 review,"1,311",8 (<1%),34 (1%),248 (11%),823 (37%),"1,085 (49%)"
